Iteration	Posterior	Likelihood	Prior	diversification	logSigma	sigma	speciation
0	-12057.6	-11641.08	-416.5146	1.14663	0.7833814	6.072695	1.14663
10	-7151.314	-6735.646	-415.6681	1.14663	0.3565478	2.27273	1.14663
20	-11703.03	-11292.52	-410.5116	1.14663	0.7929983	6.208666	1.14663
30	4145.344	4555.777	-410.4325	1.14663	-0.6891249	0.2045856	1.14663
40	-2470.722	-2053.18	-417.5416	1.14663	-0.04812141	0.8951145	1.14663
50	-6158.951	-5746.02	-412.9314	1.14663	0.2942694	1.969107	1.14663
60	-2243.103	-1830.393	-412.7099	1.14663	-0.4516581	0.3534613	1.14663
70	1855.659	2264.115	-408.4564	1.14663	-0.4123151	0.3869767	1.14663
80	-5900.194	-5488.93	-411.264	1.14663	0.2710987	1.866804	1.14663
90	4699.591	5112.884	-413.2932	1.14663	-0.7130912	0.1936015	1.14663
100	2239.973	2653.514	-413.5408	1.14663	-0.4730532	0.3364704	1.14663
110	1710.393	2121.537	-411.1436	1.14663	-0.4037574	0.3946777	1.14663
120	-3596.425	-3183.465	-412.9607	1.14663	0.08291942	1.210374	1.14663
130	2200.277	2613.294	-413.0166	1.14663	-0.4422442	0.3612067	1.14663
140	-10719.19	-10304.94	-414.2543	1.14663	0.7053434	5.073918	1.14663
150	-21972.24	-21558.92	-413.3179	1.14663	1.68665	48.60151	1.14663
160	2871.713	3285.94	-414.2265	1.14663	-0.5212989	0.3010933	1.14663
170	918.4291	1331.919	-413.4897	1.14663	-0.3376974	0.4595181	1.14663
180	-15209.16	-14797.57	-411.5819	1.14663	1.10037	12.59999	1.14663
190	-571.7248	-162.3239	-409.4008	1.14663	-0.1776179	0.6643273	1.14663
200	4091.825	4505.308	-413.4831	1.14663	-1.214229	0.06106193	1.14663
210	-5460.327	-5048.374	-411.9526	1.14663	0.2313466	1.703517	1.14663
220	-1727.452	-1319.872	-407.5797	1.14663	-0.06609355	0.8588285	1.14663
230	-21973.47	-21562.02	-411.4485	1.14663	1.688385	48.79605	1.14663
240	-9632.588	-9220.295	-412.2932	1.14663	0.6092383	4.066664	1.14663
250	-15154.65	-14744.04	-410.6031	1.14663	1.072232	11.80952	1.14663
260	-7400.681	-6985.589	-415.0923	1.14663	0.3798326	2.397908	1.14663
270	5341.691	5755.642	-413.9513	1.14663	-0.8538501	0.1400071	1.14663
280	-4914.866	-4501.974	-412.8922	1.14663	0.1790157	1.510135	1.14663
290	217.247	629.2161	-411.969	1.14663	-0.2804832	0.5242239	1.14663
300	-14353.98	-13937.58	-416.4036	1.14663	0.9925785	9.830565	1.14663
310	1941.581	2357.684	-416.1028	1.14663	-0.4664818	0.3416003	1.14663
320	-5405.894	-4987.023	-418.8711	1.14663	0.1844464	1.529137	1.14663
330	5226.659	5643.396	-416.7364	1.14663	-0.7971557	0.1595307	1.14663
340	4794.32	5211.504	-417.1847	1.14663	-1.224484	0.05963705	1.14663
350	-2305.298	-1890.594	-414.7041	1.14663	-1.447627	0.0356757	1.14663
360	-30600.84	-30181.69	-419.144	1.14663	2.407281	255.4352	1.14663
370	-846.6036	-428.3724	-418.2312	1.14663	-0.1960681	0.6366956	1.14663
380	5211.573	5626.093	-414.5198	1.14663	-0.7746874	0.1680013	1.14663
390	24.90306	436.8506	-411.9475	1.14663	-0.2510807	0.5609437	1.14663
400	5519.175	5929.935	-410.7598	1.14663	-1.115854	0.07658535	1.14663
410	-3353.78	-2947.89	-405.8901	1.14663	0.07539338	1.189579	1.14663
420	962.3075	1369.703	-407.3953	1.14663	-0.3183918	0.4804057	1.14663
430	2691.162	3099.108	-407.9465	1.14663	-0.4907013	0.3230716	1.14663
440	-6294.834	-5884.608	-410.2254	1.14663	0.3186142	2.08264	1.14663
450	-14746.22	-14331.38	-414.8368	1.14663	1.022642	10.53518	1.14663
460	-4137.947	-3722.655	-415.2924	1.14663	0.1017417	1.263984	1.14663
470	-2350.822	-1939.025	-411.7962	1.14663	-0.03248184	0.9279363	1.14663
480	-15873	-15459.79	-413.2106	1.14663	1.128134	13.4318	1.14663
490	2922.316	3339.252	-416.9358	1.14663	-1.275926	0.0529754	1.14663
500	-4624.548	-4209.371	-415.1768	1.14663	-1.444868	0.03590309	1.14663
510	-14175.49	-13760.11	-415.382	1.14663	0.9880054	9.727594	1.14663
520	5498.27	5915.288	-417.0182	1.14663	-0.8980267	0.1264659	1.14663
530	4620.255	5038.591	-418.3361	1.14663	-0.7613261	0.1732503	1.14663
540	-1174.715	-759.6122	-415.1025	1.14663	-0.1431799	0.719151	1.14663
550	613.1928	1027.767	-414.5741	1.14663	-0.3070182	0.4931531	1.14663
560	-16423.06	-16005.04	-418.0145	1.14663	1.172451	14.87478	1.14663
570	-5226.898	-4809.149	-417.7491	1.14663	0.1818967	1.520186	1.14663
580	-12083.45	-11673.34	-410.1145	1.14663	0.8319329	6.790986	1.14663
590	1781.362	2191.336	-409.9735	1.14663	-0.4055408	0.3930603	1.14663
600	-4941.853	-4531.565	-410.2889	1.14663	0.2161585	1.644972	1.14663
610	350.7398	759.8732	-409.1334	1.14663	-0.2598378	0.5497461	1.14663
620	603.4114	1017.19	-413.7788	1.14663	-0.3141157	0.4851592	1.14663
630	-5155.762	-4741.355	-414.4069	1.14663	0.2036646	1.598323	1.14663
640	-13317.02	-12903.3	-413.722	1.14663	0.9079776	8.090542	1.14663
650	-9849.761	-9429.822	-419.9393	1.14663	0.6106702	4.080095	1.14663
660	-29643.98	-29221.69	-422.2913	1.14663	-1.311956	0.04875778	1.14663
670	1180.084	1600.93	-420.8462	1.14663	-0.3960165	0.4017756	1.14663
680	3343.378	3765.181	-421.8039	1.14663	-0.6842944	0.2068739	1.14663
690	-9434.756	-9015.302	-419.4538	1.14663	0.5647555	3.670756	1.14663
700	1441.407	1860.278	-418.871	1.14663	-0.608359	0.2464002	1.14663
710	6190.588	6614.552	-423.9636	1.14663	-1.139677	0.07249751	1.14663
720	-22933.5	-22515.8	-417.6938	1.14663	1.736905	54.5638	1.14663
730	2282.366	2701.062	-418.6962	1.14663	-0.7638808	0.1722341	1.14663
740	1406.604	1823.129	-416.5244	1.14663	-1.169807	0.06763835	1.14663
750	-10477.34	-10063.74	-413.6066	1.14663	0.6701088	4.678524	1.14663
760	-8105.543	-7691.376	-414.1673	1.14663	0.4697444	2.949473	1.14663
770	1597.282	2009.576	-412.2943	1.14663	-0.38816	0.4091099	1.14663
780	1443.947	1853.236	-409.289	1.14663	-0.5049426	0.3126493	1.14663
790	2679.247	3087.543	-408.2961	1.14663	-0.4778401	0.3327821	1.14663
800	1691.083	2101.729	-410.6456	1.14663	-0.3902263	0.4071681	1.14663
810	-3263.38	-2850.218	-413.1619	1.14663	0.03831477	1.092232	1.14663
820	-5935.478	-5522.7	-412.7779	1.14663	0.2690006	1.857807	1.14663
830	-412.9328	-2.728277	-410.2045	1.14663	-0.9742705	0.1061035	1.14663
840	2509.924	2918.066	-408.1414	1.14663	-0.4686893	0.3398683	1.14663
