state	power	likelihood
260	1	13755.4
270	1	13764.2
280	1	13752.5
290	1	13753.1
300	1	13753.9
310	1	13756.7
320	1	13758.1
330	1	13759
340	1	13764.9
350	1	13758.8
360	1	13755.9
370	1	13750.1
380	1	13737.8
390	1	13740.4
400	1	13745.4
410	1	13747.7
420	1	13749.6
430	1	13746.9
440	1	13745.5
450	1	13740.8
460	1	13743.7
470	1	13731.3
480	1	13740.9
490	1	13736.6
500	1	13748.8
510	1	13748.2
520	1	13744.7
530	1	13749.9
540	1	13742.3
550	1	13733
560	1	13737.4
570	1	13736.1
580	1	13750.4
590	1	13741.3
600	1	13741.3
610	1	13737.1
620	1	13734.8
630	1	13739
640	1	13744.9
650	1	13744.3
660	1	13749.5
670	1	13744.7
680	1	13752.3
690	1	13745.8
700	1	13745.7
710	1	13747.7
720	1	13741.9
730	1	13742.4
740	1	13738.9
750	1	13736.4
760	1	13743.4
770	1	13745.4
780	1	13741.5
790	1	13732.4
800	1	13728.3
810	1	13732.2
820	1	13742.9
830	1	13742.1
840	1	13735.1
850	1	13737.2
860	1	13740.7
870	1	13748.2
880	1	13739.8
890	1	13735.6
900	1	13745.8
910	1	13755.3
920	1	13748.4
930	1	13749.6
940	1	13741
950	1	13753.5
960	1	13747.5
970	1	13749.1
980	1	13750.6
990	1	13751.2
1000	1	13747
260	0.903921	13750.4
270	0.903921	13749.1
280	0.903921	13744.8
290	0.903921	13747.9
300	0.903921	13740.8
310	0.903921	13729.6
320	0.903921	13732.4
330	0.903921	13745
340	0.903921	13737.3
350	0.903921	13744.3
360	0.903921	13735.8
370	0.903921	13739.1
380	0.903921	13743.7
390	0.903921	13732.6
400	0.903921	13719.5
410	0.903921	13722.1
420	0.903921	13715.4
430	0.903921	13729.6
440	0.903921	13728
450	0.903921	13731.1
460	0.903921	13726.3
470	0.903921	13732.3
480	0.903921	13731.1
490	0.903921	13742.3
500	0.903921	13746.1
510	0.903921	13739.5
520	0.903921	13735
530	0.903921	13742.9
540	0.903921	13740.1
550	0.903921	13754.5
560	0.903921	13742.2
570	0.903921	13737.7
580	0.903921	13730.2
590	0.903921	13726
600	0.903921	13729.8
610	0.903921	13739.3
620	0.903921	13735.8
630	0.903921	13745.8
640	0.903921	13751.9
650	0.903921	13750.9
660	0.903921	13747.2
670	0.903921	13749.4
680	0.903921	13749.1
690	0.903921	13759
700	0.903921	13751.7
710	0.903921	13751.4
720	0.903921	13744.2
730	0.903921	13739.9
740	0.903921	13745
750	0.903921	13754.7
760	0.903921	13753
770	0.903921	13752.2
780	0.903921	13751.2
790	0.903921	13753.2
800	0.903921	13748.5
810	0.903921	13742.8
820	0.903921	13752.5
830	0.903921	13762.8
840	0.903921	13760
850	0.903921	13755.3
860	0.903921	13741.6
870	0.903921	13741.2
880	0.903921	13726.9
890	0.903921	13731.6
900	0.903921	13728.1
910	0.903921	13734.2
920	0.903921	13736.3
930	0.903921	13741.8
940	0.903921	13752.4
950	0.903921	13750.4
960	0.903921	13749.6
970	0.903921	13735.3
980	0.903921	13738.8
990	0.903921	13738.5
1000	0.903921	13733.5
260	0.815373	13733.7
270	0.815373	13743.8
280	0.815373	13744.6
290	0.815373	13748.2
300	0.815373	13746.1
310	0.815373	13750.6
320	0.815373	13725.9
330	0.815373	13723.5
340	0.815373	13719.4
350	0.815373	13723.5
360	0.815373	13730.8
370	0.815373	13722.2
380	0.815373	13722.4
390	0.815373	13725.8
400	0.815373	13709.4
410	0.815373	13701.1
420	0.815373	13688.1
430	0.815373	13686.2
440	0.815373	13689.7
450	0.815373	13694.3
460	0.815373	13692.7
470	0.815373	13700
480	0.815373	13694.7
490	0.815373	13716.5
500	0.815373	13712.6
510	0.815373	13721.5
520	0.815373	13711.7
530	0.815373	13714.8
540	0.815373	13730.6
550	0.815373	13721.5
560	0.815373	13707.6
570	0.815373	13703.2
580	0.815373	13701.7
590	0.815373	13689.3
600	0.815373	13696.2
610	0.815373	13706.1
620	0.815373	13699.3
630	0.815373	13700.9
640	0.815373	13711.9
650	0.815373	13711.5
660	0.815373	13696.9
670	0.815373	13693.6
680	0.815373	13702.4
690	0.815373	13698.5
700	0.815373	13703.1
710	0.815373	13707.1
720	0.815373	13693.2
730	0.815373	13690.6
740	0.815373	13701.6
750	0.815373	13711.5
760	0.815373	13716.1
770	0.815373	13718.3
780	0.815373	13720.6
790	0.815373	13720.5
800	0.815373	13708.9
810	0.815373	13713.6
820	0.815373	13710.9
830	0.815373	13715.5
840	0.815373	13707.4
850	0.815373	13697.2
860	0.815373	13710.2
870	0.815373	13721.3
880	0.815373	13727.5
890	0.815373	13713.9
900	0.815373	13719.9
910	0.815373	13717.1
920	0.815373	13718.1
930	0.815373	13722.9
940	0.815373	13725.1
950	0.815373	13731.1
960	0.815373	13726.9
970	0.815373	13707.3
980	0.815373	13716.4
990	0.815373	13707.8
1000	0.815373	13704.4
260	0.733904	13710.9
270	0.733904	13718.8
280	0.733904	13728.4
290	0.733904	13722.1
300	0.733904	13714
310	0.733904	13719.7
320	0.733904	13717.7
330	0.733904	13727.5
340	0.733904	13717.6
350	0.733904	13713.8
360	0.733904	13725.4
370	0.733904	13734.8
380	0.733904	13732.3
390	0.733904	13746
400	0.733904	13735.2
410	0.733904	13727.1
420	0.733904	13722.9
430	0.733904	13723
440	0.733904	13728.1
450	0.733904	13711.4
460	0.733904	13724.9
470	0.733904	13714.7
480	0.733904	13702.6
490	0.733904	13702.2
500	0.733904	13709.1
510	0.733904	13713.7
520	0.733904	13705.7
530	0.733904	13715.3
540	0.733904	13718.8
550	0.733904	13721.3
560	0.733904	13731.2
570	0.733904	13716.4
580	0.733904	13715.6
590	0.733904	13697.1
600	0.733904	13699.3
610	0.733904	13704.7
620	0.733904	13724.5
630	0.733904	13711.7
640	0.733904	13701.3
650	0.733904	13695.1
660	0.733904	13709.1
670	0.733904	13717.6
680	0.733904	13702.5
690	0.733904	13706.1
700	0.733904	13712.2
710	0.733904	13705.2
720	0.733904	13710.4
730	0.733904	13725.5
740	0.733904	13722.3
750	0.733904	13711.8
760	0.733904	13686.2
770	0.733904	13689.5
780	0.733904	13677.7
790	0.733904	13685.4
800	0.733904	13681.8
810	0.733904	13690.8
820	0.733904	13705.2
830	0.733904	13694.8
840	0.733904	13709.5
850	0.733904	13712.6
860	0.733904	13718
870	0.733904	13728.2
880	0.733904	13717.9
890	0.733904	13724.2
900	0.733904	13728.4
910	0.733904	13725.5
920	0.733904	13718.6
930	0.733904	13722.6
940	0.733904	13707.3
950	0.733904	13707.6
960	0.733904	13701.2
970	0.733904	13697.9
980	0.733904	13714
990	0.733904	13688
1000	0.733904	13690.5
260	0.659082	13706.9
270	0.659082	13696.1
280	0.659082	13712
290	0.659082	13715.5
300	0.659082	13695.5
310	0.659082	13696.2
320	0.659082	13685.4
330	0.659082	13683.8
340	0.659082	13690.7
350	0.659082	13695.4
360	0.659082	13707.3
370	0.659082	13701.2
380	0.659082	13710.6
390	0.659082	13707.3
400	0.659082	13715
410	0.659082	13708.1
420	0.659082	13695.7
430	0.659082	13707.3
440	0.659082	13710.9
450	0.659082	13708.2
460	0.659082	13703.4
470	0.659082	13702.9
480	0.659082	13695
490	0.659082	13692
500	0.659082	13690.3
510	0.659082	13685.1
520	0.659082	13690.4
530	0.659082	13686.8
540	0.659082	13683.6
550	0.659082	13688.5
560	0.659082	13695.2
570	0.659082	13704.6
580	0.659082	13694.6
590	0.659082	13715.7
600	0.659082	13698.8
610	0.659082	13693.4
620	0.659082	13689.3
630	0.659082	13698.8
640	0.659082	13698.4
650	0.659082	13697
660	0.659082	13671.9
670	0.659082	13688.8
680	0.659082	13695.5
690	0.659082	13700.7
700	0.659082	13704.1
710	0.659082	13706.7
720	0.659082	13700.1
730	0.659082	13715.3
740	0.659082	13715.4
750	0.659082	13708.7
760	0.659082	13711.2
770	0.659082	13704.8
780	0.659082	13705
790	0.659082	13693
800	0.659082	13694.4
810	0.659082	13695.6
820	0.659082	13677.2
830	0.659082	13681.3
840	0.659082	13684.3
850	0.659082	13694.5
860	0.659082	13678.7
870	0.659082	13680.1
880	0.659082	13672.5
890	0.659082	13670.2
900	0.659082	13682.2
910	0.659082	13698.5
920	0.659082	13708.4
930	0.659082	13696.8
940	0.659082	13709.5
950	0.659082	13704.6
960	0.659082	13726.1
970	0.659082	13721.3
980	0.659082	13715.8
990	0.659082	13701
1000	0.659082	13697.5
260	0.59049	13650
270	0.59049	13657.2
280	0.59049	13658.1
290	0.59049	13658.3
300	0.59049	13647.4
310	0.59049	13637.4
320	0.59049	13658.6
330	0.59049	13658.7
340	0.59049	13657.2
350	0.59049	13645.5
360	0.59049	13652.6
370	0.59049	13662.3
380	0.59049	13656.1
390	0.59049	13646.1
400	0.59049	13655.2
410	0.59049	13653.2
420	0.59049	13654.7
430	0.59049	13644.7
440	0.59049	13631.6
450	0.59049	13650.9
460	0.59049	13638.7
470	0.59049	13664.6
480	0.59049	13669.5
490	0.59049	13649.1
500	0.59049	13652.9
510	0.59049	13656.4
520	0.59049	13644.8
530	0.59049	13643.5
540	0.59049	13635.1
550	0.59049	13648.5
560	0.59049	13659.9
570	0.59049	13652
580	0.59049	13640.7
590	0.59049	13635.8
600	0.59049	13644.8
610	0.59049	13650.4
620	0.59049	13656.7
630	0.59049	13625.8
640	0.59049	13646.7
650	0.59049	13666.3
660	0.59049	13659.4
670	0.59049	13651.6
680	0.59049	13630.8
690	0.59049	13618.1
700	0.59049	13623.4
710	0.59049	13648
720	0.59049	13650.1
730	0.59049	13662.7
740	0.59049	13666.5
750	0.59049	13670.3
760	0.59049	13641.4
770	0.59049	13652
780	0.59049	13667.5
790	0.59049	13676.9
800	0.59049	13681
810	0.59049	13671.5
820	0.59049	13674.1
830	0.59049	13673
840	0.59049	13683.8
850	0.59049	13681.6
860	0.59049	13675.4
870	0.59049	13667.5
880	0.59049	13665.9
890	0.59049	13669.5
900	0.59049	13684.2
910	0.59049	13676.2
920	0.59049	13660.4
930	0.59049	13640.9
940	0.59049	13642.8
950	0.59049	13633.9
960	0.59049	13640.2
970	0.59049	13663.5
980	0.59049	13657.6
990	0.59049	13661.5
1000	0.59049	13663.2
260	0.527732	13623.2
270	0.527732	13634.9
280	0.527732	13621.8
290	0.527732	13614.1
300	0.527732	13638.6
310	0.527732	13632
320	0.527732	13640.7
330	0.527732	13614.9
340	0.527732	13632.1
350	0.527732	13618.4
360	0.527732	13619.8
370	0.527732	13621.2
380	0.527732	13646.5
390	0.527732	13632.7
400	0.527732	13619.5
410	0.527732	13611.2
420	0.527732	13623.7
430	0.527732	13609.1
440	0.527732	13619.6
450	0.527732	13630.7
460	0.527732	13642.5
470	0.527732	13662.1
480	0.527732	13667
490	0.527732	13645.4
500	0.527732	13649.5
510	0.527732	13653.8
520	0.527732	13645.4
530	0.527732	13621.3
540	0.527732	13636.8
550	0.527732	13663.6
560	0.527732	13666.6
570	0.527732	13668
580	0.527732	13678.4
590	0.527732	13698.7
600	0.527732	13667.9
610	0.527732	13668.5
620	0.527732	13665.1
630	0.527732	13667.7
640	0.527732	13641.5
650	0.527732	13638.5
660	0.527732	13643.4
670	0.527732	13634
680	0.527732	13622.1
690	0.527732	13631.5
700	0.527732	13633.5
710	0.527732	13638.6
720	0.527732	13617.6
730	0.527732	13627.8
740	0.527732	13645.1
750	0.527732	13636.4
760	0.527732	13645.4
770	0.527732	13653.7
780	0.527732	13666
790	0.527732	13657.4
800	0.527732	13649.8
810	0.527732	13639.1
820	0.527732	13630.9
830	0.527732	13629.2
840	0.527732	13634.7
850	0.527732	13634.3
860	0.527732	13615.6
870	0.527732	13600.5
880	0.527732	13624.8
890	0.527732	13636.3
900	0.527732	13644.9
910	0.527732	13635.4
920	0.527732	13623.7
930	0.527732	13628.8
940	0.527732	13622.8
950	0.527732	13636.2
960	0.527732	13636.7
970	0.527732	13639.3
980	0.527732	13627.2
990	0.527732	13635.6
1000	0.527732	13605.3
260	0.470427	13586.1
270	0.470427	13567.1
280	0.470427	13571.9
290	0.470427	13590.1
300	0.470427	13599.1
310	0.470427	13578.1
320	0.470427	13581.6
330	0.470427	13602.9
340	0.470427	13601.2
350	0.470427	13598.7
360	0.470427	13599.7
370	0.470427	13612
380	0.470427	13603.7
390	0.470427	13576.8
400	0.470427	13585
410	0.470427	13589.7
420	0.470427	13599.8
430	0.470427	13589.8
440	0.470427	13567.3
450	0.470427	13601.7
460	0.470427	13612.2
470	0.470427	13592.6
480	0.470427	13588.3
490	0.470427	13586
500	0.470427	13580.6
510	0.470427	13588.9
520	0.470427	13564.4
530	0.470427	13530.7
540	0.470427	13513.3
550	0.470427	13510.4
560	0.470427	13532.1
570	0.470427	13548.8
580	0.470427	13558
590	0.470427	13561.4
600	0.470427	13574.2
610	0.470427	13578.4
620	0.470427	13560
630	0.470427	13590.5
640	0.470427	13540.1
650	0.470427	13560.4
660	0.470427	13553.1
670	0.470427	13561.2
680	0.470427	13555.9
690	0.470427	13545.2
700	0.470427	13536.9
710	0.470427	13535.1
720	0.470427	13544.8
730	0.470427	13539.6
740	0.470427	13525
750	0.470427	13551.5
760	0.470427	13540
770	0.470427	13563.4
780	0.470427	13555.1
790	0.470427	13563.6
800	0.470427	13571.3
810	0.470427	13562.9
820	0.470427	13557.3
830	0.470427	13575.5
840	0.470427	13577.3
850	0.470427	13593.3
860	0.470427	13615.7
870	0.470427	13597.7
