state	power	likelihood
260	3.2768e-06	5327.94
270	3.2768e-06	-6284.83
280	3.2768e-06	-20657.2
290	3.2768e-06	-934.918
300	3.2768e-06	636.48
310	3.2768e-06	1745.51
320	3.2768e-06	-4936.99
330	3.2768e-06	-1469.94
340	3.2768e-06	-6448.53
350	3.2768e-06	3768.49
360	3.2768e-06	287.305
370	3.2768e-06	-5942.42
380	3.2768e-06	-5103.65
390	3.2768e-06	-18414.4
400	3.2768e-06	-9629.49
410	3.2768e-06	-12378.6
420	3.2768e-06	-18911.7
430	3.2768e-06	574.671
440	3.2768e-06	-1725.16
450	3.2768e-06	-937.686
460	3.2768e-06	-8130.77
470	3.2768e-06	-18058.7
480	3.2768e-06	1819.2
490	3.2768e-06	-9487.78
500	3.2768e-06	-10235.4
510	3.2768e-06	-28944.8
520	3.2768e-06	2205.21
530	3.2768e-06	-11313.6
540	3.2768e-06	1233.62
550	3.2768e-06	-10064.5
560	3.2768e-06	-11860.7
570	3.2768e-06	-13762.4
580	3.2768e-06	4966.81
590	3.2768e-06	-24788.6
600	3.2768e-06	4467.91
610	3.2768e-06	-13206.6
620	3.2768e-06	-2289.72
630	3.2768e-06	-24461.6
640	3.2768e-06	4135.48
650	3.2768e-06	-6602.31
660	3.2768e-06	217.676
670	3.2768e-06	-2337.99
680	3.2768e-06	-17606.5
690	3.2768e-06	4193.17
700	3.2768e-06	1905.17
710	3.2768e-06	-1139.99
720	3.2768e-06	-17538.7
730	3.2768e-06	-14886
740	3.2768e-06	-116179
750	3.2768e-06	-13391.8
760	3.2768e-06	-11906.9
770	3.2768e-06	2046.93
780	3.2768e-06	-3231.53
790	3.2768e-06	-4719.4
800	3.2768e-06	-26684
810	3.2768e-06	3256.75
820	3.2768e-06	3529.63
830	3.2768e-06	2399.17
840	3.2768e-06	3886.65
850	3.2768e-06	1592.93
860	3.2768e-06	-341700
870	3.2768e-06	-3764.47
880	3.2768e-06	-9796.08
890	3.2768e-06	-68823.8
900	3.2768e-06	-29659.6
910	3.2768e-06	3099.83
920	3.2768e-06	3623.65
930	3.2768e-06	-7869.44
940	3.2768e-06	-31557.9
950	3.2768e-06	3013.55
960	3.2768e-06	-100.135
970	3.2768e-06	4748.94
980	3.2768e-06	5375.47
990	3.2768e-06	-1587.79
1000	3.2768e-06	-1348.79
