state	power	likelihood
260	0.733904	16950
270	0.733904	16954.2
280	0.733904	16955.8
290	0.733904	16957.7
300	0.733904	16968.1
310	0.733904	16958.3
320	0.733904	16969.4
330	0.733904	16941
340	0.733904	16949.1
350	0.733904	16930.7
360	0.733904	16946.8
370	0.733904	16934.5
380	0.733904	16944.8
390	0.733904	16936
400	0.733904	16941.7
410	0.733904	16956
420	0.733904	16948.2
430	0.733904	16950.5
440	0.733904	16953.3
450	0.733904	16963.9
460	0.733904	16964.5
470	0.733904	16959
480	0.733904	16934.1
490	0.733904	16960.8
500	0.733904	16963.1
510	0.733904	16964
520	0.733904	16979.5
530	0.733904	16944.5
540	0.733904	16958.1
550	0.733904	16976.1
560	0.733904	16979.1
570	0.733904	16980.1
580	0.733904	16964.4
590	0.733904	16984.2
600	0.733904	16963
610	0.733904	16955.6
620	0.733904	16935.3
630	0.733904	16937.3
640	0.733904	16955.4
650	0.733904	16966.6
660	0.733904	16950.2
670	0.733904	16955.3
680	0.733904	16976.9
690	0.733904	16980.5
700	0.733904	16969.6
710	0.733904	16985.1
720	0.733904	16988.4
730	0.733904	16981.8
740	0.733904	16981.8
750	0.733904	17027.6
760	0.733904	17024.5
770	0.733904	17027.4
780	0.733904	17036
790	0.733904	17011.8
800	0.733904	17008.9
810	0.733904	17007.2
820	0.733904	16986.6
830	0.733904	17000.3
840	0.733904	17008.9
850	0.733904	16986.7
860	0.733904	16989
870	0.733904	16983.8
880	0.733904	17011.4
890	0.733904	16986.5
900	0.733904	17035.6
910	0.733904	16980.7
920	0.733904	17018.9
930	0.733904	17042
940	0.733904	17015.8
950	0.733904	17021.8
960	0.733904	17006.8
970	0.733904	16999.7
980	0.733904	17023.5
990	0.733904	17017.6
1000	0.733904	16978.6
