Iteration	Posterior	Likelihood	Prior	sigma
0	9522.723	9934.156	-411.433	0.04917559
100	10030.71	10446.32	-415.6106	0.04248168
200	9810.628	10224.9	-414.2668	0.04725496
300	9836.408	10253.02	-416.6169	0.04662084
400	9676.228	10087.35	-411.1211	0.04571249
500	9531.104	9946.203	-415.0991	0.04641631
600	9907.284	10328.31	-421.0255	0.04288974
700	9662.498	10080.24	-417.7372	0.04475211
800	9814.943	10230.06	-415.1212	0.04789507
900	9998.719	10416.82	-418.1052	0.04337623
1000	9766.07	10181.66	-415.595	0.04605802
