Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
0	0	-102279.1	-101857.1	-421.9883	0.01401337
1	1	-2946.263	-2525.587	-420.6757	0.1291085
2	0	12960.22	13572	-611.7868	0.01725721
3	1	12373.88	12933.62	-559.742	0.04967892
4	0	14214.39	14812.6	-598.2166	0.01567394
5	1	14092.44	14652.24	-559.799	0.03466678
6	0	14703.23	15243.49	-540.2582	0.01439809
7	1	14752.91	15332.91	-579.9923	0.02830978
8	0	15008.32	15561.77	-553.4488	0.01434473
9	1	15136.52	15695.5	-558.9759	0.02495115
10	0	15222.23	15762.45	-540.2153	0.0142825
11	1	15376.44	15960.68	-584.2412	0.02399815
12	0	15337.54	15877.82	-540.2751	0.0142825
13	1	15500.07	16070.95	-570.8812	0.02415152
14	0	15507.99	16025.54	-517.5539	0.01395528
15	1	15603.23	16181.47	-578.2356	0.02415152
16	0	15617.25	16147.14	-529.8906	0.01303605
17	1	15650.61	16233.59	-582.9825	0.02415152
18	0	15668.15	16211.41	-543.2618	0.01306722
19	1	15742.62	16275.38	-532.7606	0.02415152
20	0	15731.63	16299.12	-567.4858	0.01161613
21	1	15846.84	16410.52	-563.6858	0.02289407
22	0	15759.22	16296.95	-537.7252	0.01160489
23	1	15911.95	16461.39	-549.4449	0.02298078
24	0	15824.5	16350.36	-525.86	0.01104422
25	1	16023.97	16553.18	-529.2132	0.01973662
26	0	15891.02	16443.4	-552.3739	0.01081629
27	1	16039.82	16594.03	-554.2088	0.01941618
28	0	15938.27	16475.21	-536.9358	0.01063691
29	1	16066.29	16618.45	-552.1603	0.01941618
30	0	15966.08	16505.65	-539.57	0.01053792
31	1	16119.63	16691.04	-571.4061	0.0180677
32	0	15998.94	16535.49	-536.5508	0.009832311
33	1	16156.27	16723.74	-567.4728	0.01798323
34	0	16048.08	16570.78	-522.7092	0.009851071
35	1	16204.51	16750.59	-546.0734	0.01819584
36	0	16080.79	16629.01	-548.2229	0.009549833
37	1	16226.83	16795.18	-568.3489	0.01765173
38	0	16116.5	16674.2	-557.6961	0.008875035
39	1	16235.45	16786.15	-550.7003	0.01765173
40	0	16118.15	16666.01	-547.8526	0.008875035
41	1	16247.99	16798.42	-550.4304	0.01783929
42	0	16131.71	16709.09	-577.3791	0.008166299
43	1	16298.45	16824.3	-525.8505	0.01586638
44	0	16205.81	16741.57	-535.7573	0.008484736
45	1	16309.38	16840.4	-531.0229	0.01586638
46	0	16223.3	16779.47	-556.1779	0.008484736
47	1	16337.73	16873.14	-535.4172	0.01608671
48	0	16252.87	16788.72	-535.8484	0.007415394
49	1	16355.32	16893.98	-538.6666	0.01551914
50	0	16225.58	16812.8	-587.2158	0.006832895
51	1	16407.94	16932.05	-524.1104	0.01544225
52	0	16277.9	16844.36	-566.4568	0.0070479
53	1	16441.24	16970.34	-529.094	0.014177
54	0	16314.59	16885.81	-571.2206	0.0070479
55	1	16442.83	16997.35	-554.5176	0.01406385
56	0	16303.41	16874.89	-571.4817	0.0070479
57	1	16441.09	16979.82	-538.7295	0.01354772
58	0	16339.41	16874.66	-535.2437	0.006970458
59	1	16459.43	17021.43	-561.995	0.01354772
60	0	16367.62	16909.94	-542.3179	0.006970458
61	1	16497.97	17023.29	-525.3224	0.01331125
62	0	16394.55	16944.56	-550.0009	0.00717506
63	1	16493.89	17023.65	-529.7595	0.01331125
64	0	16407.23	16967.2	-559.9628	0.006921808
65	1	16487.68	17018.5	-530.8248	0.01364016
66	0	16414.19	16946.59	-532.4013	0.006725749
67	1	16509.39	17006.44	-497.0538	0.01364016
68	0	16435.3	16967.03	-531.7279	0.006930686
69	1	16506.29	17012.22	-505.9366	0.01380943
70	0	16430.64	16973.73	-543.0916	0.006930686
71	1	16503.5	17000.37	-496.8688	0.01380943
72	0	16444.3	16983.88	-539.5847	0.006825369
73	1	16489.86	17007.13	-517.2682	0.01343979
74	0	16476.14	16974.66	-498.5148	0.007147822
75	1	16501.96	17012.21	-510.252	0.0123031
76	0	16461.45	17018.74	-557.2857	0.006488388
77	1	16530.69	17036.06	-505.3707	0.01210889
78	0	16465.93	17012.13	-546.1965	0.006488388
79	1	16517.98	17069.72	-551.7377	0.01210889
80	0	16480.2	17032.8	-552.591	0.006474267
81	1	16546.76	17069.56	-522.7964	0.01309533
82	0	16486.62	17061.98	-575.3626	0.006474267
83	1	16546.68	17055.89	-509.2057	0.01367598
84	0	16525.13	17082.42	-557.2815	0.006323774
85	1	16561.88	17085.95	-524.0671	0.01341766
86	0	16536.77	17107.78	-571.0106	0.006734008
87	1	16567.86	17118.01	-550.1545	0.01270765
88	0	16525.47	17080.86	-555.3925	0.006781399
89	1	16565.57	17072.83	-507.2559	0.01270765
90	0	16498.38	17069.28	-570.9007	0.00644437
91	1	16561.54	17050.81	-489.2614	0.01300354
92	0	16519.45	17075.08	-555.626	0.006619053
93	1	16567.99	17082.75	-514.7621	0.01300354
94	0	16537.19	17091.37	-554.1851	0.006619053
95	1	16606.42	17129.56	-523.144	0.01300354
96	0	16537.86	17087.62	-549.7547	0.006514815
97	1	16585.68	17085.95	-500.2635	0.01297817
98	0	16542.64	17097.52	-554.8827	0.006431647
99	1	16584.6	17115.46	-530.8638	0.01321579
100	0	16546.56	17092.8	-546.2434	0.006560995
101	1	16592.19	17119.74	-527.5449	0.01360912
