Iteration	Posterior	Likelihood	Prior	sigma2
0	-102279.1	-101857.1	-421.9883	0.01401337
100	12960.22	13572	-611.7868	0.01725721
200	14214.39	14812.6	-598.2166	0.01567394
300	14703.23	15243.49	-540.2582	0.01439809
400	15008.32	15561.77	-553.4488	0.01434473
500	15222.23	15762.45	-540.2153	0.0142825
600	15337.54	15877.82	-540.2751	0.0142825
700	15507.99	16025.54	-517.5539	0.01395528
800	15617.25	16147.14	-529.8906	0.01303605
900	15668.15	16211.41	-543.2618	0.01306722
1000	15731.63	16299.12	-567.4858	0.01161613
1100	15759.22	16296.95	-537.7252	0.01160489
1200	15824.5	16350.36	-525.86	0.01104422
1300	15891.02	16443.4	-552.3739	0.01081629
1400	15938.27	16475.21	-536.9358	0.01063691
1500	15966.08	16505.65	-539.57	0.01053792
1600	15998.94	16535.49	-536.5508	0.009832311
1700	16048.08	16570.78	-522.7092	0.009851071
1800	16080.79	16629.01	-548.2229	0.009549833
1900	16116.5	16674.2	-557.6961	0.008875035
2000	16118.15	16666.01	-547.8526	0.008875035
2100	16131.71	16709.09	-577.3791	0.008166299
2200	16205.81	16741.57	-535.7573	0.008484736
2300	16223.3	16779.47	-556.1779	0.008484736
2400	16252.87	16788.72	-535.8484	0.007415394
2500	16225.58	16812.8	-587.2158	0.006832895
2600	16277.9	16844.36	-566.4568	0.0070479
2700	16314.59	16885.81	-571.2206	0.0070479
2800	16303.41	16874.89	-571.4817	0.0070479
2900	16339.41	16874.66	-535.2437	0.006970458
3000	16367.62	16909.94	-542.3179	0.006970458
3100	16394.55	16944.56	-550.0009	0.00717506
3200	16407.23	16967.2	-559.9628	0.006921808
3300	16414.19	16946.59	-532.4013	0.006725749
3400	16435.3	16967.03	-531.7279	0.006930686
3500	16430.64	16973.73	-543.0916	0.006930686
3600	16444.3	16983.88	-539.5847	0.006825369
3700	16476.14	16974.66	-498.5148	0.007147822
3800	16461.45	17018.74	-557.2857	0.006488388
3900	16465.93	17012.13	-546.1965	0.006488388
4000	16480.2	17032.8	-552.591	0.006474267
4100	16486.62	17061.98	-575.3626	0.006474267
4200	16525.13	17082.42	-557.2815	0.006323774
4300	16536.77	17107.78	-571.0106	0.006734008
4400	16525.47	17080.86	-555.3925	0.006781399
4500	16498.38	17069.28	-570.9007	0.00644437
4600	16519.45	17075.08	-555.626	0.006619053
4700	16537.19	17091.37	-554.1851	0.006619053
4800	16537.86	17087.62	-549.7547	0.006514815
4900	16542.64	17097.52	-554.8827	0.006431647
5000	16546.56	17092.8	-546.2434	0.006560995
